id;género;edad;fecha_compra;factura;Bebida_favorita;horario;región;satisfacción
99;F;68;20220731;84000;Latte Macchiato;18-20;Andina;3
100;M;60;20230206;64000;Caramel Macchiato;12-14;Insular;1
101;M;45;20230815;54000;Chocolate Blanco;20-22;Orinoquía;2
102;M;66;20220124;49000;Café del día;16-18;Insular;4
103;;28;20230223;65400;Espresso Doble;18-20;Pacífica;4
104;;28;20230823;65400;Espresso Macchiato;12-14;Insular;1
105;F;19;20221015;73000;Chocolate Caliente;18-20;Andina;2
106;F;66;20240216;58000;Espresso Doble;12-14;Orinoquía;2
107;F;72;20220811;72000;Espresso Sencillo;10-12;Insular;3
108;;28;20220190;65400;Chocolate Helado;14-16;Andina;5
109;M;76;20220407;63000;Chocolate Blanco;14-16;Caribe;2
110;M;52;20230515;78000;Caramel Macchiato;16-18;Insular;3
111;M;55;20231210;31000;Latte Macchiato;14-16;Pacífica;4
112;F;39;20230919;60000;Latte Macchiato;18-20;Orinoquía;2
113;F;45;20220126;44000;Espresso Sencillo;18-20;Orinoquía;4
114;F;57;20230704;114000;Chocolate Caliente;18-20;Orinoquía;2
115;M;74;20240712;48000;Espresso Doble;20-22;Caribe;1
116;M;18;20220727;47000;Latte;12-14;Orinoquía;5
117;M;53;20230927;96000;Espresso Macchiato;16-18;Insular;2
118;F;59;20230910;98000;Arequipe Latte;20-22;Pacífica;1
119;M;57;20201104;46000;Cappuccino;20-22;Insular;2
120;F;51;20230813;56000;Mocha Latte;12-14;Orinoquía;3
121;;28;20210730;65400;Cappuccino;14-16;Andina;5
122;;28;20231125;65400;Caramel Macchiato;10-12;Andina;3
123;F;64;20231020;37000;Arequipe Latte;18-20;Caribe;3
124;M;71;20230129;57000;Americano;20-22;Pacífica;1
125;F;64;20230421;66000;Mocha Latte;12-14;Andina;1
126;M;83;20240127;46000;Chocolate Blanco Helado;18-20;Caribe;3
127;M;26;20231211;71000;Café del día;18-20;Pacífica;3
128;;28;20220418;65400;Cappuccino;12-14;Insular;1
129;F;29;20240321;58000;Latte;10-12;Caribe;1
130;M;43;20230915;70000;Chocolate Caliente;18-20;Orinoquía;4
131;F;89;20240114;65000;Chocolate Helado;10-12;Andina;3
132;F;49;20240518;79000;Chocolate Blanco Helado;10-12;Caribe;5
133;M;79;20220627;67000;Chocolate Caliente;12-14;Pacífica;5
134;F;55;20231016;94000;Arequipe Latte;18-20;Insular;5
135;M;55;20231203;66000;Americano;14-16;Orinoquía;3
136;M;45;20231007;31000;Americano;10-12;Andina;4
137;M;52;20240130;30000;Caramel Macchiato;14-16;Andina;1
138;M;39;20220404;55000;Chocolate Caliente;18-20;Pacífica;2
139;M;77;20240702;69000;Chocolate Blanco;12-14;Andina;2
140;M;66;20240709;60000;Americano;18-20;Andina;2
141;F;69;20230927;87000;Mocha Blanco Latte;20-22;Andina;1
142;M;74;20200820;53000;Chocolate Caliente;20-22;Pacífica;4
143;;28;20221018;65400;Café del día;12-14;Pacífica;5
144;F;75;20240712;87000;Mocha Latte;10-12;Pacífica;3
145;F;59;20210909;85000;Espresso Doble;12-14;Caribe;1
146;M;47;20191230;66000;Mocha Latte;18-20;Orinoquía;2
147;M;20;20240528;69000;Espresso Doble;12-14;Pacífica;4
148;M;60;20230426;108000;Flat White;12-14;Insular;1
149;M;65;20240315;61000;Chocolate Blanco Helado;14-16;Orinoquía;3
150;M;33;20210421;43000;Arequipe Latte;10-12;Caribe;2
151;F;39;20231217;67000;Mocha Blanco Latte;12-14;Pacífica;3
152;M;49;20240602;59000;Chocolate Caliente;20-22;Andina;5
153;M;68;20240207;58000;Chocolate Blanco;12-14;Orinoquía;3
154;M;42;20230209;80000;Latte;10-12;Andina;3
155;M;72;20240601;33000;Espresso Sencillo;12-14;Pacífica;3
156;F;18;20230524;49000;Latte;18-20;Caribe;2
157;F;32;20240628;42000;Cappuccino;14-16;Caribe;4
158;M;67;20230828;50000;Caramel Macchiato;20-22;Caribe;5
159;M;52;20240704;42000;Chocolate Caliente;10-12;Caribe;3
160;M;38;20231019;64000;Mocha Blanco Latte;16-18;Pacífica;4
161;F;60;20240316;77000;Arequipe Latte;18-20;Caribe;2
162;F;62;20231222;77000;Latte Macchiato;10-12;Andina;1
163;F;55;20240708;51000;Arequipe Latte;20-22;Andina;1
164;M;22;20240428;63000;Latte Macchiato;20-22;Orinoquía;2
165;M;34;20231206;41000;Mocha Blanco Latte;16-18;Insular;3
166;M;46;20201214;60000;Latte Macchiato;10-12;Caribe;1
167;M;85;20240726;67000;Mocha Blanco Latte;16-18;Pacífica;2
168;F;51;20230316;85000;Cappuccino;12-14;Caribe;3
169;;28;20210905;65400;Americano;12-14;Caribe;5
170;F;53;20220427;85000;Caramel Macchiato;16-18;Pacífica;4
171;M;51;20220810;92000;Chocolate Blanco;12-14;Caribe;5
172;;28;20240114;65400;Chocolate Blanco Helado;20-22;Caribe;5
173;M;48;20210601;44000;Mocha Latte;20-22;Pacífica;2
174;M;52;20240605;72000;Mocha Blanco Latte;16-18;Caribe;3
175;;28;20230607;65400;Espresso Doble;18-20;Orinoquía;3
176;M;62;20220305;53000;Mocha Blanco Latte;20-22;Caribe;1
177;M;42;20240325;62000;Americano;18-20;Insular;1
178;M;55;20231025;65000;Americano;18-20;Insular;1
179;F;27;20210915;50000;Café del día;10-12;Caribe;1
180;M;68;20240530;107000;Chocolate Blanco Helado;14-16;Orinoquía;3
181;F;74;20231220;83000;Espresso Sencillo;20-22;Andina;2
182;M;77;20201011;66000;Espresso Macchiato;12-14;Caribe;5
183;M;35;20240118;72000;Chocolate Blanco;14-16;Caribe;5
184;F;50;20231108;69000;Chocolate Blanco;12-14;Caribe;3
185;M;45;20211027;94000;Chocolate Blanco Helado;16-18;Insular;5
186;M;82;20221231;87000;Chocolate Caliente;10-12;Andina;3
187;M;40;20191222;57000;Flat White;12-14;Orinoquía;1
188;M;66;20240617;34000;Cappuccino;10-12;Orinoquía;3
189;M;52;20240411;63000;Espresso Doble;12-14;Insular;1
190;F;57;20220329;89000;Latte Macchiato;20-22;Caribe;4
191;M;68;20220629;69000;Arequipe Latte;10-12;Andina;2
192;M;21;20240303;52000;Cappuccino;12-14;Pacífica;2
193;M;61;20230815;44000;Chocolate Helado;18-20;Caribe;2
194;;28;20220506;65400;Espresso Macchiato;16-18;Orinoquía;2
195;F;58;20240317;54000;Americano;18-20;Orinoquía;1
196;F;67;20240614;54000;Latte;16-18;Pacífica;1
197;M;24;20230212;61000;Flat White;16-18;Orinoquía;1
198;;28;20210206;65400;Chocolate Helado;16-18;Andina;5
199;M;26;20231117;35000;Flat White;18-20;Orinoquía;1
200;F;71;20231207;105000;Latte Macchiato;18-20;Andina;5
201;F;69;20231212;64000;Espresso Macchiato;12-14;Caribe;3
202;M;81;20240503;93000;Arequipe Latte;14-16;Pacífica;4
203;M;62;20220405;73000;Espresso Sencillo;10-12;Insular;3
204;M;38;20230709;74000;Chocolate Caliente;16-18;Pacífica;1
205;M;61;20230926;82000;Latte Macchiato;20-22;Andina;4
206;F;52;20230809;92000;Latte;14-16;Pacífica;4
207;M;50;20231225;70000;Flat White;16-18;Insular;4
208;M;54;20230216;118000;Cappuccino;18-20;Pacífica;2
209;F;75;20240502;109000;Mocha Blanco Latte;16-18;Pacífica;4
210;M;82;20240319;73000;Latte Macchiato;12-14;Andina;4
211;M;64;20240720;38000;Café del día;20-22;Insular;5
212;F;54;20211006;99000;Arequipe Latte;10-12;Andina;3
213;;28;20240708;65400;Caramel Macchiato;12-14;Andina;5
214;M;82;20240108;72000;Espresso Sencillo;12-14;Orinoquía;1
215;;28;20211115;65400;Chocolate Blanco Helado;14-16;Caribe;4
216;M;90;20240509;45000;Chocolate Caliente;16-18;Pacífica;2
217;F;34;20240417;67000;Latte;12-14;Orinoquía;5
218;M;44;20240718;53000;Mocha Blanco Latte;12-14;Andina;5
219;F;79;20240711;106000;Chocolate Helado;16-18;Pacífica;2
220;F;58;20221231;95000;Espresso Macchiato;12-14;Insular;3
221;;28;20240327;65400;Chocolate Blanco Helado;12-14;Pacífica;1
222;F;47;20220105;74000;Arequipe Latte;14-16;Insular;4
223;F;60;20231117;59000;Espresso Macchiato;18-20;Caribe;2
224;M;83;20230807;54000;Chocolate Blanco;18-20;Insular;3
225;F;74;20240517;103000;Mocha Latte;20-22;Orinoquía;2
226;M;89;20210917;101000;Latte;18-20;Insular;4
227;M;68;20220305;62000;Espresso Doble;16-18;Pacífica;5
228;F;63;20231127;110000;Espresso Doble;20-22;Orinoquía;1
229;F;40;20240706;51000;Chocolate Helado;20-22;Andina;3
230;F;79;20231217;99000;Caramel Macchiato;14-16;Insular;1
231;M;71;20240321;30000;Latte;10-12;Andina;3
232;F;76;20210906;114000;Espresso Sencillo;20-22;Caribe;3
233;M;89;20220528;96000;Latte;10-12;Caribe;4
234;M;63;20230729;36000;Chocolate Caliente;14-16;Andina;5
235;;28;20240501;65400;Cappuccino;12-14;Insular;2
236;M;41;20230922;83000;Café del día;10-12;Orinoquía;4
237;F;71;20240408;56000;Café del día;20-22;Andina;4
238;M;44;20231011;36000;Chocolate Blanco;14-16;Andina;5
239;M;25;20220406;73000;Chocolate Blanco;14-16;Insular;5
240;M;27;20240327;70000;Mocha Blanco Latte;20-22;Pacífica;2
241;M;67;20240212;106000;Chocolate Blanco Helado;18-20;Andina;1
242;F;77;20220219;80000;Cappuccino;10-12;Pacífica;2
243;F;68;20211229;66000;Americano;12-14;Orinoquía;4
244;M;37;20220420;64000;Americano;18-20;Orinoquía;3
245;M;55;20220323;60000;Americano;18-20;Orinoquía;4
246;M;30;20220903;54000;Chocolate Helado;10-12;Insular;5
247;M;51;20210815;54000;Flat White;16-18;Orinoquía;5
248;F;47;20240712;92000;Americano;20-22;Insular;4
249;M;49;20240204;48000;Americano;12-14;Insular;5
250;M;32;20211008;38000;Chocolate Caliente;10-12;Pacífica;2
251;M;30;20230418;69000;Espresso Sencillo;12-14;Caribe;3
252;M;47;20230225;86000;Latte Macchiato;10-12;Orinoquía;2
253;;28;20231207;65400;Espresso Macchiato;12-14;Caribe;3
254;M;34;20230123;34000;Chocolate Blanco Helado;10-12;Orinoquía;5
255;F;78;20230604;101000;Espresso Macchiato;14-16;Orinoquía;5
256;F;85;20220302;71000;Espresso Doble;16-18;Caribe;3
257;F;75;20190806;69000;Latte Macchiato;12-14;Caribe;1
258;F;76;20230311;71000;Latte Macchiato;10-12;Andina;3
259;F;89;20210722;59000;Cappuccino;16-18;Caribe;3
260;M;58;20240129;70000;Café del día;14-16;Orinoquía;2
261;M;23;20231030;49000;Espresso Sencillo;18-20;Pacífica;5
262;M;58;20230916;53000;Chocolate Blanco;18-20;Insular;4
263;;28;20231228;65400;Chocolate Caliente;18-20;Caribe;1
264;F;64;20211012;95000;Espresso Doble;16-18;Orinoquía;2
265;M;72;20230909;39000;Latte;18-20;Insular;4
266;F;66;20230811;72000;Latte;12-14;Orinoquía;4
267;F;49;20230809;68000;Arequipe Latte;10-12;Insular;3
268;M;43;20230413;71000;Espresso Macchiato;12-14;Caribe;3
269;M;58;20240717;39000;Latte Macchiato;20-22;Andina;2
270;M;43;20230806;76000;Americano;14-16;Caribe;2
271;F;56;20230329;87000;Mocha Latte;14-16;Insular;1
272;F;69;20231016;118000;Latte Macchiato;16-18;Caribe;4
273;O;60;20240216;94000;Mocha Blanco Latte;14-16;Andina;3
274;M;81;20220601;70000;Latte;18-20;Insular;5
275;M;42;20230403;91000;Caramel Macchiato;20-22;Insular;4
276;M;75;20210110;71000;Chocolate Blanco Helado;20-22;Andina;3
277;M;62;20240127;73000;Chocolate Blanco Helado;20-22;Caribe;3
278;F;55;20220505;54000;Flat White;14-16;Insular;3
279;M;65;20231011;39000;Chocolate Blanco;20-22;Pacífica;2
280;M;52;20230227;46000;Espresso Macchiato;16-18;Insular;3
281;F;30;20231015;40000;Espresso Macchiato;12-14;Andina;1
282;F;74;20210924;75000;Café del día;16-18;Pacífica;2
283;F;100;20210828;63000;Latte Macchiato;12-14;Pacífica;3
284;F;26;20230324;40000;Café del día;20-22;Andina;5
285;F;56;20220328;53000;Chocolate Helado;14-16;Orinoquía;4
286;M;50;20201015;90000;Caramel Macchiato;18-20;Orinoquía;5
287;M;73;20231008;95000;Mocha Blanco Latte;20-22;Orinoquía;2
288;F;49;20231210;74000;Latte;14-16;Pacífica;4
289;M;37;20220109;50000;Cappuccino;12-14;Pacífica;5
290;M;65;20220212;57000;Espresso Macchiato;14-16;Andina;4
291;F;64;20220225;81000;Mocha Latte;20-22;Caribe;4
292;F;48;20221014;53000;Latte;20-22;Orinoquía;1
293;M;20;20210812;32000;Latte Macchiato;18-20;Pacífica;2
294;;28;20240205;65400;Café del día;20-22;Pacífica;4
295;M;46;20240723;40000;Mocha Blanco Latte;20-22;Andina;2
296;M;24;20210427;69000;Americano;16-18;Pacífica;4
297;M;71;20210826;95000;Latte;18-20;Insular;1
298;F;50;20240525;78000;Chocolate Caliente;20-22;Caribe;2
299;M;37;20230515;92000;Espresso Macchiato;20-22;Andina;1
300;F;57;20220522;81000;Espresso Macchiato;14-16;Insular;4
301;;28;20230920;65400;Cappuccino;16-18;Insular;2
302;M;52;20200425;85000;Chocolate Blanco Helado;16-18;Caribe;2
303;M;41;20220824;41000;Chocolate Blanco Helado;18-20;Pacífica;5
304;F;66;20230618;74000;Chocolate Helado;12-14;Insular;3
305;F;66;20211001;87000;Chocolate Caliente;16-18;Pacífica;4
306;F;68;20231025;120000;Mocha Latte;12-14;Pacífica;1
307;M;20;20220308;70000;Latte Macchiato;20-22;Caribe;3
308;M;43;20230704;42000;Chocolate Blanco;20-22;Andina;2
309;M;73;20231212;38000;Café del día;12-14;Pacífica;2
310;;28;20240406;65400;Flat White;18-20;Orinoquía;4
311;F;42;20230529;56000;Flat White;12-14;Caribe;1
312;M;82;20220604;110000;Chocolate Blanco Helado;12-14;Andina;4
313;;28;20240418;65400;Chocolate Caliente;12-14;Andina;2
314;F;70;20231109;92000;Arequipe Latte;18-20;Caribe;5
315;F;42;20231010;71000;Chocolate Blanco Helado;18-20;Pacífica;5
316;M;48;20210903;62000;Latte;10-12;Pacífica;1
317;F;53;20210910;93000;Latte;14-16;Insular;5
318;M;64;20240304;67000;Espresso Doble;18-20;Orinoquía;5
319;M;79;20240123;90000;Espresso Sencillo;20-22;Andina;1
320;M;51;20220511;55000;Latte;16-18;Insular;4
321;F;45;20240120;88000;Espresso Doble;10-12;Andina;3
322;F;48;20220602;105000;Americano;14-16;Andina;1
323;;28;20210817;65400;Espresso Doble;16-18;Caribe;1
324;F;54;20211024;119000;Arequipe Latte;12-14;Orinoquía;1
325;M;52;20240710;48000;Latte Macchiato;14-16;Orinoquía;1
326;M;28;20190924;68000;Latte;12-14;Insular;2
327;M;69;20200502;47000;Mocha Blanco Latte;20-22;Caribe;1
328;M;73;20230627;92000;Chocolate Helado;18-20;Pacífica;2
329;;28;20230821;65400;Arequipe Latte;12-14;Caribe;3
330;F;67;20230813;71000;Chocolate Helado;18-20;Caribe;5
331;F;76;20240613;34000;Chocolate Blanco Helado;18-20;Caribe;2
332;F;55;20211121;53000;Mocha Latte;10-12;Caribe;4
333;F;89;20240623;83000;Chocolate Blanco Helado;10-12;Caribe;5
334;;28;20230201;65400;Espresso Macchiato;12-14;Insular;5
335;M;57;20240429;41000;Caramel Macchiato;12-14;Orinoquía;4
336;;28;20220721;65400;Café del día;12-14;Andina;3
337;F;54;20240211;70000;Flat White;16-18;Orinoquía;1
338;;28;20210811;65400;Mocha Blanco Latte;14-16;Orinoquía;4
339;M;58;20231227;73000;Chocolate Blanco;14-16;Pacífica;1
340;;28;20230815;65400;Chocolate Helado;14-16;Orinoquía;2
341;M;49;20231123;39000;Cappuccino;10-12;Pacífica;1
342;F;73;20240507;79000;Chocolate Caliente;16-18;Orinoquía;1
343;F;58;20230219;76000;Chocolate Caliente;20-22;Insular;3
344;M;51;20231214;70000;Latte;12-14;Caribe;4
345;M;74;20220418;78000;Latte Macchiato;10-12;Caribe;5
346;M;53;20210906;95000;Café del día;10-12;Caribe;5
347;M;61;20240227;32000;Americano;10-12;Orinoquía;1
348;;28;20230912;65400;Latte;20-22;Pacífica;2
349;M;41;20231024;55000;Cappuccino;10-12;Pacífica;2
350;F;64;20231008;95000;Espresso Macchiato;18-20;Pacífica;3
351;;28;20220516;65400;Latte;16-18;Pacífica;5
352;;28;20230928;65400;Latte Macchiato;18-20;Andina;5
353;M;42;20230908;75000;Café del día;18-20;Insular;4
354;M;50;20220426;57000;Flat White;10-12;Pacífica;3
355;M;60;20230903;56000;Chocolate Blanco Helado;20-22;Caribe;4
356;F;57;20220408;83000;Espresso Macchiato;20-22;Pacífica;5
357;F;39;20230407;54000;Caramel Macchiato;20-22;Caribe;5
358;;28;20230903;65400;Café del día;14-16;Orinoquía;1
359;F;57;20220827;67000;Chocolate Caliente;14-16;Insular;4
360;M;57;20231216;71000;Chocolate Caliente;14-16;Insular;1
361;M;68;20220318;51000;Cappuccino;16-18;Pacífica;5
362;F;83;20210910;114000;Mocha Latte;20-22;Andina;5
363;F;35;20240102;72000;Flat White;12-14;Andina;1
364;F;90;20240101;72000;Espresso Doble;18-20;Insular;4
365;M;56;20240404;72000;Cappuccino;12-14;Caribe;5
366;;28;20240114;65400;Caramel Macchiato;14-16;Andina;2
367;M;84;20230907;81000;Caramel Macchiato;14-16;Caribe;5
368;M;62;20240312;39000;Cappuccino;12-14;Andina;1
369;M;63;20230223;58000;Arequipe Latte;16-18;Pacífica;4
370;;28;20231207;65400;Latte Macchiato;20-22;Caribe;2
371;M;67;20220105;56000;Espresso Sencillo;12-14;Pacífica;5
372;F;68;20231126;50000;Chocolate Blanco;14-16;Caribe;3
373;M;55;20230508;73000;Mocha Latte;14-16;Andina;1
374;;28;20240608;65400;Chocolate Blanco;14-16;Andina;2
375;;28;20231014;65400;Chocolate Blanco;18-20;Andina;1
376;F;24;20230207;59000;Cappuccino;10-12;Andina;2
377;M;40;20230815;39000;Espresso Doble;18-20;Andina;5
378;M;83;20240118;61000;Chocolate Blanco Helado;10-12;Pacífica;2
379;;28;20220104;65400;Chocolate Helado;10-12;Caribe;5
380;;28;20220618;65400;Caramel Macchiato;14-16;Caribe;2
381;F;63;20230316;41000;Mocha Latte;20-22;Insular;2
382;F;59;20240116;59000;Espresso Doble;20-22;Pacífica;4
383;O;49;20231207;42000;Latte;20-22;Orinoquía;2
384;F;61;20220612;99000;Mocha Blanco Latte;12-14;Orinoquía;4
385;M;42;20240613;57000;Espresso Doble;10-12;Andina;1
386;M;58;20240129;36000;Latte Macchiato;14-16;Caribe;2
387;F;48;20221021;44000;Mocha Blanco Latte;16-18;Insular;5
388;M;35;20230829;64000;Americano;14-16;Caribe;4
389;M;36;20240315;31000;Chocolate Blanco;16-18;Orinoquía;4
390;F;41;20220414;100000;Mocha Blanco Latte;10-12;Orinoquía;4
391;F;83;20230430;73000;Chocolate Blanco Helado;10-12;Andina;4
392;M;53;20231015;87000;Chocolate Caliente;12-14;Andina;5
393;;28;20210910;65400;Chocolate Blanco Helado;20-22;Orinoquía;4
394;F;53;20220115;97000;Arequipe Latte;12-14;Orinoquía;3
395;F;80;20240110;48000;Espresso Sencillo;12-14;Orinoquía;1
396;M;25;20211116;66000;Espresso Sencillo;16-18;Caribe;3
397;M;63;20211104;119000;Americano;10-12;Orinoquía;5
398;F;63;20220614;66000;Flat White;20-22;Orinoquía;1
399;F;56;20240123;109000;Latte;18-20;Andina;3
400;M;43;20231004;59000;Arequipe Latte;10-12;Insular;5
401;F;58;20220314;58000;Mocha Latte;14-16;Insular;3
402;M;59;20230123;59000;Latte Macchiato;12-14;Pacífica;5
403;M;49;20240318;104000;Chocolate Helado;12-14;Orinoquía;3
404;F;63;20230912;70000;Espresso Sencillo;10-12;Andina;3
405;M;42;20211210;94000;Flat White;10-12;Caribe;1
406;F;52;20240117;57000;Chocolate Caliente;12-14;Orinoquía;3
407;F;57;20240408;37000;Espresso Doble;16-18;Andina;3
408;F;56;20231109;59000;Latte;16-18;Pacífica;3
409;M;80;20231015;87000;Latte;18-20;Caribe;2
410;M;43;20220211;52000;Espresso Sencillo;14-16;Pacífica;3
411;M;54;20231114;70000;Chocolate Helado;12-14;Orinoquía;4
412;M;28;20221111;73000;Americano;10-12;Caribe;3
413;F;57;20231008;95000;Espresso Sencillo;18-20;Pacífica;4
414;M;71;20210310;67000;Chocolate Caliente;16-18;Insular;1
415;;28;20231029;65400;Chocolate Helado;10-12;Insular;1
416;F;64;20240418;112000;Arequipe Latte;14-16;Insular;2
417;M;20;20200531;49000;Arequipe Latte;16-18;Pacífica;5
418;;28;20210822;65400;Flat White;12-14;Pacífica;3
419;;28;20210827;65400;Chocolate Blanco;18-20;Andina;3
420;F;36;20230423;58000;Latte;20-22;Orinoquía;2
421;F;45;20221004;99000;Cappuccino;16-18;Caribe;1
422;M;71;20201217;65000;Cappuccino;18-20;Pacífica;4
423;M;67;20240601;89000;Espresso Macchiato;10-12;Insular;2
424;F;72;20220922;81000;Café del día;10-12;Orinoquía;2
425;M;51;20240512;100000;Mocha Blanco Latte;12-14;Andina;1
426;;28;20230419;65400;Chocolate Caliente;12-14;Caribe;5
427;M;48;20230919;68000;Chocolate Helado;16-18;Caribe;2
428;M;53;20240410;60000;Cappuccino;10-12;Caribe;2
